时间(s),温度(°C)
70.0,173.0001
70.5,172.9999
71.0,173.0001
71.5,172.9999
72.0,173.0001
72.5,172.9999
73.0,173.0001
73.5,172.9999
74.0,173.0001
74.5,172.9999
75.0,173.0001
75.5,172.9999
76.0,173.0001
76.5,172.9999
77.0,173.0001
77.5,172.9999
78.0,173.0001
78.5,172.9999
79.0,173.0001
79.5,172.9999
80.0,173.0001
80.5,172.9999
81.0,173.0001
81.5,172.9999
82.0,173.0001
82.5,172.9999
83.0,173.0001
83.5,172.9999
84.0,173.0001
84.5,172.9999
85.0,173.0001
85.5,172.9999
86.0,173.0001
86.5,172.9999
87.0,173.0001
87.5,172.9999
88.0,173.0001
88.5,172.9999
89.0,173.0001
89.5,172.9999
90.0,173.0001
90.5,172.9999
91.0,173.0001
91.5,172.9999
92.0,173.0001
92.5,172.9999
93.0,173.0001
93.5,172.9999
94.0,173.0001
94.5,172.9999
95.0,173.0001
95.5,172.9999
96.0,173.0001
96.5,172.9999
97.0,173.0001
97.5,172.9999
98.0,173.0001
98.5,172.9999
99.0,173.0001
99.5,172.9999
100.0,173.0001
100.5,172.9999
101.0,173.0001
101.5,172.9999
102.0,173.0001
102.5,172.9999
103.0,173.0001
103.5,172.9999
104.0,173.0001
104.5,172.9999
105.0,173.0001
105.5,172.9999
106.0,173.0001
106.5,172.9999
107.0,173.0001
107.5,172.9999
108.0,173.0001
108.5,172.9999
109.0,173.0001
109.5,172.9999
110.0,173.0001
110.5,172.9999
111.0,173.0001
111.5,172.9999
112.0,173.0001
112.5,172.9999
113.0,173.0001
113.5,172.9999
114.0,173.0001
114.5,172.9999
115.0,173.0
115.5,173.0
116.0,173.0
116.5,173.0
117.0,173.0
117.5,173.0
118.0,173.0
118.5,173.0
119.0,173.0
119.5,173.0
120.0,173.0
120.5,173.0
121.0,173.0
121.5,173.0
122.0,173.0
122.5,173.0
123.0,173.0
123.5,173.0
124.0,173.0
124.5,173.0
125.0,173.0
125.5,173.0
126.0,173.0
126.5,173.0
127.0,173.0
127.5,173.0
128.0,173.0
128.5,173.0
129.0,173.0
129.5,173.0
130.0,173.0
130.5,173.0
131.0,173.0
131.5,173.0
132.0,173.0
132.5,173.0
133.0,173.0
133.5,173.0
134.0,173.0
134.5,173.0
135.0,173.0
135.5,173.0
136.0,173.0
136.5,173.0
137.0,173.0
137.5,173.0
138.0,173.0
138.5,173.0
139.0,173.0
139.5,173.0
140.0,173.0
140.5,173.0
141.0,173.0
141.5,173.0
142.0,173.0
142.5,173.0
143.0,173.0
143.5,173.0
144.0,173.0
144.5,173.0
145.0,173.0
145.5,173.0
146.0,173.0
146.5,173.0
147.0,173.0
147.5,173.0
148.0,173.0
148.5,173.0
149.0,173.0
149.5,173.0
150.0,173.0
150.5,173.0
151.0,173.0
151.5,173.0
152.0,173.4256
152.5,176.3222
153.0,179.8375
153.5,182.8889
154.0,186.287
154.5,189.4271
155.0,192.7582
155.5,195.9488
156.0,198.0275
156.5,197.9805
157.0,198.0134
157.5,197.9912
158.0,198.0053
158.5,197.9973
159.0,198.0007
159.5,198.0007
160.0,197.9982
160.5,198.0026
161.0,197.9969
161.5,198.0035
162.0,197.9963
162.5,198.0039
163.0,197.996
163.5,198.004
164.0,197.996
164.5,198.004
165.0,197.9961
165.5,198.0038
166.0,197.9963
166.5,198.0037
167.0,197.9964
167.5,198.0034
168.0,197.9967
168.5,198.0032
169.0,197.9969
169.5,198.003
170.0,197.9971
170.5,198.0028
171.0,197.9973
171.5,198.0026
172.0,197.9975
172.5,198.0024
173.0,197.9976
173.5,198.0023
174.0,197.9978
174.5,198.0021
175.0,197.998
175.5,198.0019
176.0,197.9981
176.5,198.0018
177.0,197.9983
177.5,198.0017
178.0,197.9984
178.5,198.0015
179.0,197.9985
179.5,199.9203
180.0,204.0458
180.5,208.233
181.0,212.3715
181.5,216.5487
182.0,220.6948
182.5,224.8661
183.0,229.0168
183.5,230.1907
184.0,229.8505
184.5,230.117
185.0,229.9086
185.5,230.0712
186.0,229.9448
186.5,230.0427
187.0,229.9672
187.5,230.025
188.0,229.9811
188.5,230.0141
189.0,229.9897
189.5,230.0074
190.0,229.9949
190.5,230.0033
191.0,229.9982
191.5,230.0008
192.0,230.0001
192.5,229.9993
193.0,230.0012
193.5,229.9984
194.0,230.0019
194.5,229.9979
195.0,230.0022
195.5,229.9977
196.0,230.0024
196.5,229.9976
197.0,230.0024
197.5,229.9976
198.0,230.0024
198.5,229.9976
199.0,230.0023
199.5,229.9977
200.0,230.0023
200.5,229.9978
201.0,230.0022
201.5,229.9979
202.0,230.0021
202.5,229.998
203.0,230.002
203.5,229.9981
204.0,230.0019
204.5,229.9982
205.0,230.0018
205.5,229.9983
206.0,230.0017
206.5,229.9984
207.0,232.8254
207.5,236.6237
208.0,239.9089
208.5,243.5936
209.0,246.9683
209.5,250.5826
210.0,254.0128
210.5,256.8169
211.0,257.1345
211.5,256.901
212.0,257.0559
212.5,256.9528
213.0,257.027
213.5,256.9772
214.0,257.0133
214.5,256.9887
215.0,257.0068
215.5,256.9941
216.0,257.0037
216.5,256.9968
217.0,257.0022
217.5,256.998
218.0,257.0015
218.5,256.9986
219.0,257.0011
219.5,256.999
220.0,257.0008
220.5,256.9992
221.0,257.0007
221.5,256.9993
222.0,257.0006
222.5,256.9993
223.0,257.0005
223.5,256.9994
224.0,257.0004
224.5,256.9995
225.0,257.0004
225.5,256.9995
226.0,257.0003
226.5,256.9995
227.0,257.0003
227.5,256.9996
228.0,257.0002
228.5,256.9996
229.0,257.0002
229.5,256.9996
230.0,257.0001
230.5,256.9997
231.0,257.0001
231.5,256.9997
232.0,257.0001
232.5,256.9997
233.0,257.0
233.5,256.9997
234.0,257.0
234.5,256.9997
235.0,257.0
235.5,256.9998
236.0,257.0
236.5,256.9998
237.0,257.0
237.5,256.9998
238.0,256.9999
238.5,256.9998
239.0,256.9999
239.5,256.9998
240.0,256.9999
240.5,256.9998
241.0,256.9999
241.5,256.9998
242.0,256.9999
242.5,256.9998
243.0,256.9999
243.5,256.9998
244.0,256.9999
244.5,256.9998
245.0,256.9999
245.5,256.9999
246.0,257.0001
246.5,256.9999
247.0,256.9998
247.5,257.0001
248.0,257.0002
248.5,256.9999
249.0,256.9998
249.5,257.0001
250.0,257.0002
250.5,256.9999
251.0,256.9998
251.5,257.0001
252.0,257.0002
252.5,256.9999
253.0,256.9998
253.5,257.0001
254.0,257.0002
254.5,256.9999
255.0,256.9998
255.5,257.0001
256.0,257.0002
256.5,256.9999
257.0,256.9998
257.5,257.0001
258.0,257.0002
258.5,256.9999
259.0,256.9998
259.5,257.0001
260.0,257.0002
260.5,256.9999
261.0,256.9998
261.5,240.5207
262.0,209.4866
262.5,179.8745
263.0,149.3786
263.5,119.4171
264.0,89.1473
264.5,59.0402
265.0,28.8636
265.5,22.5011
266.0,26.6084
266.5,23.6155
267.0,25.7104
267.5,24.3755
268.0,25.2919
268.5,24.7304
269.0,25.0984
269.5,24.895
270.0,25.0106
270.5,24.9703
271.0,24.9722
271.5,25.0039
272.0,24.9843
272.5,25.0486
273.0,24.9772
273.5,25.0497
274.0,24.9755
274.5,25.048
275.0,24.976
275.5,25.0452
276.0,24.9776
276.5,25.0421
277.0,24.9795
277.5,25.039
278.0,24.9815
278.5,25.0359
279.0,24.9834
279.5,25.0331
280.0,24.9853
280.5,25.0304
281.0,24.9869
281.5,25.028
282.0,24.9885
282.5,25.0257
283.0,24.9899
283.5,25.0236
284.0,24.9912
284.5,25.0217
285.0,24.9924
285.5,25.0199
286.0,24.9935
286.5,25.0183
287.0,24.9945
287.5,25.0168
288.0,24.9954
288.5,25.0155
289.0,24.9962
289.5,25.0142
290.0,24.9969
290.5,25.013
291.0,24.9976
291.5,25.012
292.0,24.9982
292.5,25.011
293.0,24.9988
293.5,25.0101
294.0,24.9993
294.5,25.0093
295.0,24.9997
295.5,25.0085
296.0,25.0001
296.5,25.0078
297.0,25.0005
297.5,25.0072
298.0,25.0008
298.5,25.0066
299.0,25.0011
299.5,25.0061
300.0,25.0014
300.5,25.0056
301.0,25.0016
301.5,25.0051
302.0,25.0018
302.5,25.0047
303.0,25.002
303.5,25.0044
304.0,25.0021
304.5,25.004
305.0,25.0023
305.5,25.0037
306.0,25.0024
306.5,25.0034
307.0,25.0025
307.5,25.0032
308.0,25.0026
308.5,25.0029
309.0,25.0026
309.5,25.0027
310.0,25.0027
310.5,24.9981
311.0,24.9971
311.5,25.0015
312.0,25.0035
312.5,24.9975
313.0,24.9977
313.5,24.9973
314.0,24.998
314.5,24.9972
315.0,24.9981
315.5,24.9972
316.0,24.9983
316.5,24.9971
317.0,24.9984
317.5,24.9971
318.0,24.9985
318.5,24.9971
319.0,24.9986
319.5,24.9971
320.0,24.9987
320.5,24.9972
321.0,24.9987
321.5,24.9972
322.0,24.9988
322.5,24.9972
323.0,24.9989
323.5,24.9972
324.0,24.9989
324.5,24.9973
325.0,24.999
325.5,24.9973
326.0,24.999
326.5,24.9973
327.0,24.999
327.5,24.9974
328.0,24.9991
328.5,24.9974
329.0,24.9991
329.5,24.9974
330.0,24.9991
330.5,24.9975
331.0,24.9991
331.5,24.9975
332.0,24.9992
332.5,24.9975
333.0,24.9992
333.5,24.9976
334.0,24.9992
334.5,24.9976
335.0,24.9992
